parceiro;grupo_controle;grupo_variante;metrica;label;n_controle;n_variante;media_controle;media_variante;shapiro_stat_controle;shapiro_p_controle;shapiro_normal_controle;shapiro_stat_variante;shapiro_p_variante;shapiro_normal_variante;ttest_stat;ttest_p;ttest_significant;mwu_stat;mwu_p;mwu_significant;cohens_d;cohens_d_magnitude;ci_95_lower;ci_95_upper;uplift_absoluto;uplift_relativo_pct;warning
Parceiro C;Grupo 1;Grupo 2;compradores;Compradores (únicos/dia);45;45;101,0889;100,4889;0,9489;0,0461;False;0,9609;0,1322;True;0,0985;0,921773;False;989,5;0,85589;False;-0,0208;negligível;-12,721;11,521;-0,6;-0,59;
Parceiro C;Grupo 1;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);45;45;38632,4444;37449,6667;0,9493;0,0477;False;0,9888;0,9386;True;0,4768;0,634747;False;1057,0;0,72254;False;-0,1005;negligível;-6117,477;3751,9215;-1182,7778;-3,06;
Parceiro C;Grupo 1;Grupo 2;comissao;Comissão (R$);45;45;2704,2889;2621,4889;0,9493;0,0479;False;0,9888;0,9384;True;0,4769;0,634729;False;1057,5;0,719518;False;-0,1005;negligível;-428,2342;262,6342;-82,8;-3,06;
Parceiro C;Grupo 1;Grupo 2;cashback;Cashback Distribuído (R$);45;45;1931,6444;2621,4889;0,9493;0,0479;False;0,9888;0,9384;True;-4,3778;4,3e-05;True;517,5;6,6e-05;True;0,9229;grande;375,3461;1004,3428;689,8444;35,71;
Parceiro C;Grupo 1;Grupo 2;lucro;Lucro Líquido (R$);45;45;772,6444;0,0;0,9494;0,0481;False;1,0;1,0;True;25,9561;0,0;True;2025,0;0,0;True;-5,472;grande;-832,6365;-712,6524;-772,6444;-100,0;
Parceiro C;Grupo 1;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);45;45;19,9997;14,2859;0,9835;0,76;True;0,8422;0,0;False;10286,3528;0,0;True;2025,0;0,0;True;-2168,5536;grande;-5,7149;-5,7127;-5,7138;-28,57;
Parceiro C;Grupo 1;Grupo 2;ticket_medio;Ticket Médio (R$);45;45;382,4522;372,272;0,9662;0,2089;True;0,9375;0,0174;False;1,1188;0,266273;False;1146,0;0,28315;False;-0,2359;pequeno;-28,2634;7,9029;-10,1802;-2,66;
